ID_ESTUDIO,CVE_ACUIF,ACUIFERO,NOM_ACUIF,CVE_EDO,NOM_EDO,ESTADO
8443,833,0833 VALLE DE JUÁREZ,VALLE DE JUÁREZ,8,CHIHUAHUA,08 CHIHUAHUA
238,2612,2612 MAGDALENA,MAGDALENA,26,SONORA,26 SONORA
8443,2605,2605 CABORCA,CABORCA,26,SONORA,26 SONORA
8487,2619,2619 COSTA DE HERMOSILLO,COSTA DE HERMOSILLO,26,SONORA,26 SONORA
251,603,0603 ARMERÍA-TECOMÁN-PERIQUILLOS,ARMERÍA-TECOMÁN-PERIQUILLOS,6,COLIMA,06 COLIMA
252,601,0601 COLIMA,COLIMA,6,COLIMA,06 COLIMA
268,601,0601 COLIMA,COLIMA,6,COLIMA,06 COLIMA
270,601,0601 COLIMA,COLIMA,6,COLIMA,06 COLIMA
270,603,0603 ARMERÍA-TECOMÁN-PERIQUILLOS,ARMERÍA-TECOMÁN-PERIQUILLOS,6,COLIMA,06 COLIMA
270,605,0605 VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,6,COLIMA,06 COLIMA
270,607,0607 EL COLOMO,EL COLOMO,6,COLIMA,06 COLIMA
270,608,0608 JALIPA-TAPEIXTLES,JALIPA-TAPEIXTLES,6,COLIMA,06 COLIMA
270,609,0609 SANTIAGO-SALAGUA,SANTIAGO-SALAGUA,6,COLIMA,06 COLIMA
270,610,0610 LA CENTRAL-PEÑA BLANCA,LA CENTRAL-PEÑA BLANCA,6,COLIMA,06 COLIMA
270,612,0612 MARABASCO,MARABASCO,6,COLIMA,06 COLIMA
270,613,0613 MINATITLÁN,MINATITLÁN,6,COLIMA,06 COLIMA
270,614,0614 VALLE DE IXTLAHUACÁN,VALLE DE IXTLAHUACÁN,6,COLIMA,06 COLIMA
270,615,0615 ALZADA-TEPAMES,ALZADA-TEPAMES,6,COLIMA,06 COLIMA
271,608,0608 JALIPA-TAPEIXTLES,JALIPA-TAPEIXTLES,6,COLIMA,06 COLIMA
272,605,0605 VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,6,COLIMA,06 COLIMA
274,601,0601 COLIMA,COLIMA,6,COLIMA,06 COLIMA
275,603,0603 ARMERÍA-TECOMÁN-PERIQUILLOS,ARMERÍA-TECOMÁN-PERIQUILLOS,6,COLIMA,06 COLIMA
276,601,0601 COLIMA,COLIMA,6,COLIMA,06 COLIMA
276,603,0603 ARMERÍA-TECOMÁN-PERIQUILLOS,ARMERÍA-TECOMÁN-PERIQUILLOS,6,COLIMA,06 COLIMA
276,605,0605 VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,6,COLIMA,06 COLIMA
276,607,0607 EL COLOMO,EL COLOMO,6,COLIMA,06 COLIMA
276,608,0608 JALIPA-TAPEIXTLES,JALIPA-TAPEIXTLES,6,COLIMA,06 COLIMA
276,609,0609 SANTIAGO-SALAGUA,SANTIAGO-SALAGUA,6,COLIMA,06 COLIMA
